"ID","参照記号","パッケージ","数","名称","Supplier and ref",
1,"U1","QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias",1,"DRV425",,,
2,"RX3,RX2,RX1,R4,R3,R2,R1","R_0603_1608Metric",7,"0",,,
3,"RS1","R_0805_2012Metric",1,"32",,,
4,"R6,R5","R_0603_1608Metric",2,"10k",,,
5,"C2,C1","C_0603_1608Metric",2,"0.1u",,,
6,"J1","PinHeader_1x03_P2.54mm_Vertical",1,"Conn_01x03",,,
7,"H1,H2","MountingHole_3.2mm_M3",2,"MountingHole",,,
